case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,relation_polarity_clamp,noncopular_relation_clamp,all_noncopular_relations_supported,literal_only_block,guarded_paraphrase_tolerated,geometric_block,exact_reference_member,reference_member_geometry_override,relation_supported_geometry_override,final_geometric_block,final_literal_block,pred_hallucinated_v9,safe_to_emit_v9,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,0,The capital of Italy is Milan.,1,0.33114510774612427,0.12601824663579464,0.07391172647476196,0.01736884005367756,2.0,2,0.6311451077461243,0,0,1,1,0,0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,,,Milan,milan,1
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,1,Italy's government is based in Turin.,1,0.6227448582649231,0.12601824663579464,0.07391172647476196,0.01736884005367756,2.0,3,0.9227448582649231,0,0,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,Turin,turin,1
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,2,Rome is the capital city of France.,1,0.3638596832752228,0.12601824663579464,0.07391172647476196,0.01736884005367756,0.5,3,0.4388596832752228,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,france,1
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,3,Italy's capital is Paris.,1,0.4274821877479553,0.12601824663579464,0.07391172647476196,0.01736884005367756,0.5,2,0.5024821877479553,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,paris,1
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,4,Rome serves as Germany's capital.,1,0.4328112006187439,0.12601824663579464,0.07391172647476196,0.01736884005367756,2.0,3,0.7328112006187439,0,0,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,Germany's,germany's,1
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,0,Earth is perfectly flat.,1,0.5572154521942139,0.8761832118034363,0.5415163040161133,0.11155563592910767,1.0,1,0.7072154521942139,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,,,,"flat,perfectly",2
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,1,Earth is a perfect cube.,1,0.6852445006370544,0.8761832118034363,0.5415163040161133,0.11155563592910767,0.5,2,0.7602445006370544,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,cube,1
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,2,Earth is a hollow artificial shell.,1,0.726864755153656,0.8761832118034363,0.5415163040161133,0.11155563592910767,1.5,1,0.951864755153656,0,0,0,0,0,0,0.021835684776306152,1,0,0,1,0,0,0,0,0,0,1,1,0,,,,"artificial,hollow,shell",3
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,3,Earth is a perfect cylinder.,1,0.6845223307609558,0.8761832118034363,0.5415163040161133,0.11155563592910767,0.5,2,0.7595223307609558,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,cylinder,1
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,4,Earth has no equatorial bulging and is a perfect sphere.,1,0.40085822343826294,0.8761832118034363,0.5415163040161133,0.11155563592910767,0.0,5,0.40085822343826294,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,0,Gravity is fully solved by modern physics.,1,0.4879266023635864,0.958626389503479,0.7775291800498962,0.06036573648452759,1.0,3,0.6379266023635864,0,0,0,0,1,0,0.015187561511993408,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,"fully,solved",2
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,1,Quantum gravity is complete and experimentally verified.,1,0.4272800385951996,0.958626389503479,0.7775291800498962,0.06036573648452759,0.0,5,0.4272800385951996,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,2,Gravity is caused by invisible magnetic fluid.,1,0.711924135684967,0.958626389503479,0.7775291800498962,0.06036573648452759,2.0,1,1.011924135684967,0,0,0,0,0,0,0.0018222928047180176,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,"caused,fluid,invisible,magnetic",4
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,3,A complete quantum theory of gravity is established.,1,0.2999047040939331,0.958626389503479,0.7775291800498962,0.06036573648452759,0.0,5,0.2999047040939331,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,4,General relativity proves gravity has no connection to mass or energy.,1,0.5088673830032349,0.958626389503479,0.7775291800498962,0.06036573648452759,1.0,5,0.6588673830032349,0,0,0,0,0,0,0.00801384449005127,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,"connection,proves",2
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,0.13442744314670563,0.588822215795517,0.34883826971054077,0.07999464869499207,0.0,7,0.13442744314670563,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,1,Photosynthesis converts sugars into carbon dioxide and water.,1,0.12390463054180145,0.588822215795517,0.34883826971054077,0.07999464869499207,0.0,7,0.12390463054180145,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,2,Photosynthesis converts oxygen into plastic.,1,0.38767555356025696,0.588822215795517,0.34883826971054077,0.07999464869499207,0.5,4,0.46267555356025697,0,0,0,0,0,1,0.13213059306144714,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,plastic,1
