case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,literal_only_block,guarded_paraphrase_tolerated,pred_hallucinated_v4,safe_to_emit_v4,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count,relation_polarity_clamp,pred_hallucinated_v5_exp09,safe_to_emit_v5
sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,0,The Sun is a planet.,1,0.3138162791728973,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.0,2,0.3138162791728973,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,1,The Sun is a galaxy.,1,0.4252818524837494,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.5,1,0.5002818524837493,0,0,0,0,0,0,0.0,0,0,0,1,,,,galaxy,1,1,1,0
sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,2,The Sun is an asteroid.,1,0.5316047668457031,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.5,1,0.6066047668457031,0,0,0,0,0,1,0.1109248399734497,0,0,1,0,,,,asteroid,1,1,1,0
sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,3,The Sun is a comet.,1,0.5683882236480713,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.5,1,0.6433882236480712,0,0,0,0,0,1,0.1317157745361328,0,0,1,0,,,,comet,1,1,1,0
sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,4,The Sun is a moon.,1,0.558533251285553,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.5,1,0.6335332512855529,0,0,0,0,0,0,0.0,0,0,1,0,,,,moon,1,1,1,0
earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,0,Earth is a perfect cube.,1,0.6852445006370544,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.5,2,0.7602445006370544,0,0,0,0,0,0,0.0,0,0,0,1,,,,cube,1,1,1,0
earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,1,Earth is a flat disk.,1,0.6031445860862732,0.8761832118034363,0.5415163040161133,0.1115556359291076,1.0,1,0.7531445860862732,0,0,0,0,0,0,0.0193491578102111,1,0,1,0,,,,"disk,flat",2,1,1,0
earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,2,Earth is a hollow artificial shell.,1,0.726864755153656,0.8761832118034363,0.5415163040161133,0.1115556359291076,1.5,1,0.951864755153656,0,0,0,0,0,0,0.0218356847763061,1,0,1,0,,,,"artificial,hollow,shell",3,1,1,0
earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,3,Earth is a pyramid.,1,0.8762618899345398,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.5,1,0.9512618899345398,0,0,0,0,0,0,0.0295610427856445,0,0,1,0,,,,pyramid,1,1,1,0
earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,4,Earth is a perfect cylinder.,1,0.6845223307609558,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.5,2,0.7595223307609558,0,0,0,0,0,0,0.0,0,0,0,1,,,,cylinder,1,1,1,0
negation_polarity_all_bad,Test negation polarity failures.,0,0,The Sun is a planet.,1,0.6795048713684082,1.0123467445373535,0.9823228120803832,0.0100079774856567,0.0,2,0.6795048713684082,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
negation_polarity_all_bad,Test negation polarity failures.,0,1,Earth is flat.,1,0.6474887132644653,1.0123467445373535,0.9823228120803832,0.0100079774856567,0.0,2,0.6474887132644653,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
negation_polarity_all_bad,Test negation polarity failures.,0,2,A complete quantum theory of gravity is established.,1,0.7136502861976624,1.0123467445373535,0.9823228120803832,0.0100079774856567,0.0,5,0.7136502861976624,0,0,0,0,1,0,0.0,0,0,1,0,,,,,0,1,1,0
negation_polarity_all_bad,Test negation polarity failures.,0,3,Scientific models are automatically final truth.,1,0.6332467198371887,1.0123467445373535,0.9823228120803832,0.0100079774856567,0.0,5,0.6332467198371887,0,0,0,0,1,0,0.0,0,0,1,0,,,,,0,1,1,0
category_substitution_all_bad,Test short category substitutions.,0,0,A dog is a bird.,1,0.5435255765914917,1.3165481388568878,0.9677984714508056,0.1162498891353607,0.0,2,0.5435255765914917,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
category_substitution_all_bad,Test short category substitutions.,0,1,A whale is a fish.,1,0.4349777698516845,1.3165481388568878,0.9677984714508056,0.1162498891353607,0.0,2,0.4349777698516845,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
category_substitution_all_bad,Test short category substitutions.,0,2,An eagle is a mammal.,1,0.5091170072555542,1.3165481388568878,0.9677984714508056,0.1162498891353607,0.0,2,0.5091170072555542,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
category_substitution_all_bad,Test short category substitutions.,0,3,A salmon is a bird.,1,0.5077462792396545,1.3165481388568878,0.9677984714508056,0.1162498891353607,0.0,2,0.5077462792396545,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,0,The Sun is a planet.,1,0.299621045589447,1.2071696817874908,0.9341555833816528,0.0910046994686126,0.0,2,0.299621045589447,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,1,The Sun is a star.,0,0.3686389625072479,1.2071696817874908,0.9341555833816528,0.0910046994686126,0.0,2,0.3686389625072479,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,2,Earth is approximately an oblate spheroid.,0,0.5764569044113159,1.2071696817874908,0.9341555833816528,0.0910046994686126,0.0,3,0.5764569044113159,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,3,Earth is a perfect cube.,1,0.738132894039154,1.2071696817874908,0.9341555833816528,0.0910046994686126,1.0,1,0.8881328940391541,0,0,0,0,0,1,0.0463745594024658,0,0,1,0,,,,"cube,perfect",2,1,1,0
mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,4,Earth is flat.,1,0.5650966763496399,1.2071696817874908,0.9341555833816528,0.0910046994686126,0.0,2,0.5650966763496399,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
